Adroit 	adj
Adsorb 	v
Adulation 	n
Adulterate 	v
Adulterer 	n
Adultery 	n
Adumbrate 	v
Advanced level 	n
Advancement 	n
Advent 	n
Adventist 	n
Adventitious 	adj
Adventure playground 	n
Adventurer 	n
Adventurous 	adj
Adverb 	n
Adversary 	n
Adverse 	adj
Adversity 	n
Advert 	n
Advertise 	v
Advertisement 	n
Advice 	n
Advisable 	adj
Advise 	v
Advisedly 	adv
Adviser 	n
Advisory 	adj
Advocaat 	n
Advocacy 	n
Adz 	n
Adze 	n
Aegis 	n
Aeolian harp 	n
Aeon 	n
Aerate 	v
Aero- 	comb
Aerobatics 	n
Aerobics 	n
Aerodrome 	n
Aerodynamics 	n
Aerofoil 	n
Aeronautics 	n
Aeroplane 	n
Aerosol 	n
Aerospace 	n
Aesthete 	n
Aesthete 	n
Aetiology 	n
Af 	abbr
Afar 	adv
Affable 	adj
Affair 	n
Affect 	v
Affectation 	n
Affected 	adj
Affection 	n
Affectionate 	adj
Affidavit 	n
Affiliation 	n
Affiliation order 	n
Affinity 	n
Affirm 	v
Afflict 	v
Affliction 	n
Affluent 	adj
Afford 	v
Afforest 	v
Affray 	n
Afghan hound 	n
Aficionado 	n
Afield 	adv
Aflame 	adv
Afloat 	adv
Afoot 	adv
Afore 	prep
Afore- 	comb
Afore 	prep
Afore- 	comb
Aforethought 	adj
Afraid 	predic
Afresh 	adv
African elephant 	n
African violet 	n
Afrikaans 	n
Afrikaner 	n
Afro- 	comb
Aft 	adv
Afterbirth 	n
After-care 	n
After-effect 	n
Afterglow 	n
Afterlife 	n
Aftermath 	n
Afternoon 	n
Afterpains 	n
Afters 	n
Aftershave 	n
Aftertaste 	n
Afterthought 	n
Afterward 	adv
Afterwards 	adv
Ag 	symb
Again 	adv
Against 	prep
Agape 	predic
Agaric 	n
Agate 	n
Agate 	n
Agave 	n
Aged 	adj
Ageism 	n
Ageless 	adj
Agelong 	adj
Agency 	n
Agenda 	n
Agent 	n
Agent provocateur 	n
Age of consent 	n
Age-old 	adj
Agglutinate 	v
Aggrandize 	v
Aggravate 	v
Aggression 	n
Aggressive 	adj
Aggressor 	n
Aggrieved 	adj
Aggro 	n
Aghast 	predic
Agile 	adj
Agitate 	v
Aglow 	predic
Agm 	abbr
Agnail 	n
Ago 	adv
Agog 	predic
Agonize 	v
Agony 	n
Agony aunt 	n
Agony column 	n
Agoraphobia 	n
Agree 	v
Agreeable 	adj
Agreement 	n
Agriculture 	n
Agrimony 	n
Agronomy 	n
Aground 	predic
Ague 	n
Ah 	abbr
Ah 	int
Aha 	int
Ahead 	adv
Ahem 	int
Ahoy 	int
Ai 	abbr
Aid 	abbr
Aide 	n
Aide-de-camp 	n
Aids 	n
Ail 	v
Aileron 	n
Ailing 	adj
Ailment 	n
Aimless 	adj
Aimless 	adj
Airbase 	n
Air-bed 	n
Airborne 	adj
Air-brick 	n
Airbus 	n
Air chief marshal 	n
Air commodore 	n
Air-conditioning 	n
Aircraft 	n
Aircraft-carrier 	n
Aircraftman 	n
Aircraftwoman 	n
Aircrew 	n
Air-cushion 	n
Airedale 	n
Airer 	n
Airfield 	n
Air force 	n
Airgun 	n
Airhead 	n
Air hostess 	n
Airless 	adj
Air letter 	n
Airline 	n
Airliner 	n
Airlock 	n
Airmail 	n
Airman 	n
Air marshal 	n
Airplane 	n
Air pocket 	n
Airport 	n
Air raid 	n
Air rifle 	n
Airs and graces 	n
Airscrew 	n
Airship 	n
Airsick 	adj
Airspace 	n
Air speed 	n
Airstrip 	n
Air terminal 	n
Airtight 	adj
Air traffic controller 	n
Air vice-marshal 	n
Airwaves 	n
Airway 	n
Airwoman 	n
Airworthy 	adj
Airy 	adj
Airy-fairy 	adj
Aisle 	n
Aitch 	n
Aitchbone 	n
Ajar 	adv
Akela 	n
Akimbo 	adv
Akin 	predic
Al 	symb
Alacrity 	n
Alarm clock 	n
Alarmist 	n
Alas 	int
Alb 	n
Albatross 	n
Albeit 	conj
Albino 	n
Album 	n
Albumen 	n
Albumin 	n
Alchemy 	n
Alcohol 	n
Alcoholism 	n
Alcove 	n
Aldehyde 	n
Aldehyde 	n
Al dente 	adj
Alder 	n
Alderman 	n
Ale 	n
Aleatory 	adj
Alehouse 	n
Alembic 	n
A level 	n
Alexander technique 	n
Alfalfa 	n
Alfresco 	adv
Alga 	n
Algebra 	n
Algol 	n
Algorithm 	n
Alibi 	n
Alienable 	adj
Alienate 	v
Align 	v
Alimentary 	adj
Alimentary canal 	n
Alimony 	n
Aliphatic 	adj
Alive 	adj
Alkali 	n
Alkalinity	n
Alkaloid 	n
Alkane 	n
Alkene 	n
Alkyne 	n
Allah 	n
Allay 	v
All-clear 	n
All comers 	n
Allegation 	n
Allege 	v
Allegedly 	adv
Allegiance 	n
Allegory 	n
Allegretto 	mus
Allegro 	mus
Allen key 	n
Allen screw 	n
Allergic 	adj
Allergy 	n
Alleviate 	v
Alley 	n
Alliance 	n
Allied 	adj
Alligator 	n
All-in 	attrib
All-in wrestling 	n
Alliteration 	n
Allocate 	v
Allot 	v
Allotment 	n
Allotropy 	n
Allow 	v
Allowance 	n
All-purpose 	attrib
All-right 	attrib
All-round 	attrib
All-rounder 	n
Allspice 	n
All-time 	attrib
Allude 	v
Allusion 	n
Allen key 	n
Allen screw 	n
Allergic 	adj
Allergy 	n
Alleviate 	v
Alley 	n
Alliance 	n
Allied 	adj
Alligator 	n
All-in 	attrib
All-in wrestling 	n
Alliteration 	n
Allocate 	v
Allot 	v
Allotment 	n
Allotropy 	n
Allow 	v
Allowance 	n
All-purpose 	attrib
All-right 	attrib
All-round 	attrib
All-rounder 	n
Allspice 	n
All-time 	attrib
Allude 	v
Allusion 	n
Alluvium 	n
Alma mater 	n
Almanac 	n
